,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
9,Regular 2,Danang-Dragons,Hochiminh-City-Wings,77,"Son Minh, Tam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Danang-Dragons,Hochiminh-City-Wings,5,"Mai, Thinh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Danang-Dragons,Hochiminh-City-Wings,24,"Ho Quoc, Truong",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Hochiminh-City-Wings,Danang-Dragons,33,"Martin, Wayne",38,12,21,1,3,3,7,5,18,2,0,3,3,3,28
1,Regular 2,Hochiminh-City-Wings,Danang-Dragons,3,"Soy, Michael",36,6,18,0,7,0,0,0,1,1,2,0,1,1,12
2,Regular 2,Hochiminh-City-Wings,Danang-Dragons,4,"Nguyen-Quang, Vinh",34,4,12,2,7,4,5,1,11,3,5,0,3,0,14
3,Regular 2,Hochiminh-City-Wings,Danang-Dragons,13,"Pham, Tung",26,1,5,0,0,0,0,1,1,0,0,0,1,2,2
4,Regular 2,Hochiminh-City-Wings,Danang-Dragons,19,"Nguyen Le Quoc, Cuong",22,3,6,0,2,0,0,2,2,0,0,0,2,1,6
5,Regular 2,Hochiminh-City-Wings,Danang-Dragons,16,"Cao Dac, Luan",14,0,2,0,0,0,0,0,1,0,1,0,3,3,0
6,Regular 2,Hochiminh-City-Wings,Danang-Dragons,20,"Nguyen Minh, Chung",10,0,2,0,1,0,0,1,0,0,0,0,1,0,0
7,Regular 2,Hochiminh-City-Wings,Danang-Dragons,15,"Le Tran Dang, Huynh",8,1,2,1,2,0,0,0,0,0,0,0,1,1,3
8,Regular 2,Hochiminh-City-Wings,Danang-Dragons,14,"Nguyen Ky, Quan",5,0,2,0,0,2,2,1,0,0,0,0,3,1,2
9,Regular 2,Hochiminh-City-Wings,Danang-Dragons,12,"Nguyen-Quoc, Thai",3,0,2,0,0,0,0,1,0,0,0,0,0,1,0
10,Regular 2,Hochiminh-City-Wings,Danang-Dragons,2,"Hoang, Tu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Regular 2,Hochiminh-City-Wings,Danang-Dragons,1,"Nguyen Quoc, Thanh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
